,Date,Tweet,Tweet Source,Retweets,Likes,Location,Clean Tweet,SS
0,2021-01-01 23:48:40,"#respecteachother #kissanAndolan #KisanVirodhiNarendraModi #FarmersProtest #FarmersBill #FarmersBill #Farmers #FarmersBill2020

When you stop listening and just want to proof that only you are right... U r behaving like a communist. 
LET BEHAVE LIKE a democratic nation.
🙏🙏",Twitter for Android,0,0,,when you stop listening and just want proof that only you are right behaving like communist let behave like democratic nation,NEGATIVE
1,2021-01-01 21:16:19,https://t.co/rkCCnptRGT https://t.co/rkCCnptRGT My speech on Farmer's protest! Must watch and share🙏 #FarmersProtest #kisaanprotest #FarmersBill,Twitter for Android,0,0,India,speech farmers protest must watch and share,POSITIVE
2,2021-01-01 20:10:18,Half the problem got sorted when @RahulGandhi left the remaining will get sorted when @_YogendraYadav  Yogendra Yadav leaves !! The #FarmersBill is not the problem they #RahulGandhi &amp; #yogendrayadav  are !! 😎😎😎 https://t.co/6Tph7eq0pM,Twitter Web App,4,8,"New Delhi, India",half the problem got sorted when left the remaining will get sorted when yogendra yadav leaves the not the problem they amp are,NEGATIVE
3,2021-01-01 19:49:52,"@_pallavighosh @RSSxve Could have been drafted much better..coming from academicians, they should have focused solely on merits of the bills and not to vouch for govt's intent or promises being made outside bill draft..

Still, good to see people coming out in support of #FarmersBill

#FarmersProtest",Twitter for Android,0,0,,could have been drafted much bettercoming from academicians they should have focused solely merits the bills and not vouch for govts intent promises being made outside bill draft still good see people coming out support,NEGATIVE
4,2021-01-01 19:27:42,"The French Revolution was a turning-point in the rise of democracy and freedom – not just in France, but across Europe and the wider world. @narendramodi @BJP4India @ShyamSharmaAd #FarmersProtests #FarmersBill #FarmersBill2020 #IndianFarmersRevolution2020",Twitter for Android,3,14,,the french revolution was turningpoint the rise democracy and freedom not just france but across europe and the wider world,POSITIVE
5,2021-01-01 19:13:43,@virdi19 @narendramodi @BJP4India @AmitShah @POTUS 7 years in power he has finally found his match  #kissanmajdoorektazindabad #FarmersBill #FarmersBill2020 #IndianFarmersRevolution2020,Twitter for Android,3,1,,years power has finally found his match,POSITIVE
6,2021-01-01 19:08:29,"I am with farmers.

#FarmersProtest #FarmersBill2020 #GodiMedia #farmers #FarmersBill #FarmerFirst #mediasold #IndianFarmers #drkamalgulati #mybigdataanalytics https://t.co/TkHHpgq1lQ",LinkedIn,0,1,"Uttar Pradesh, India",with farmers,POSITIVE
7,2021-01-01 19:03:05,"@virdi19 @narendramodi @BJP4India @AmitShah 2022 seems a good year for farmers , he better start moving  #HappyNewYear2021 #FarmersBill #FarmersBill2020 #IndianFarmersRevolution2020 https://t.co/PXXwTQ727s",Twitter for Android,0,1,,seems good year for farmers better start moving,POSITIVE
8,2021-01-01 18:58:56,Farmers are dying you would die due to hunger. As simple as that. #FarmersProtest #farmersrprotest #FarmersBill,Twitter for iPhone,16,87,United States,farmers are dying you would die due hunger simple that,NEGATIVE
9,2021-01-01 18:10:24,Press conference by Kisan Andolan representatives at 12:30 pm tomorrow. The government should brace itself for a big announcement. #FarmersBill,Twitter for iPhone,0,0,"New Delhi, India",press conference kisan andolan representatives tomorrow the government should brace itself for big announcement,POSITIVE
10,2021-01-01 18:07:33,"Kerala’s only one BJP MLA O Rajagopal says that he supports the state assembly’s resolution against the Central farm laws. 😳 Or 😂
#FarmersProtest 
#FarmersBill",Twitter for Android,0,2,,keralas only one bjp mla rajagopal says that supports the state assemblys resolution against the central farm laws,NEGATIVE
11,2021-01-01 17:58:17,Indians sitting in their homes can help the movement by doing this . Please Help you could be next 🙏🏼#FarmersProtest #KisanEktaMorcha #FarmersBill #BoycottAdaniAmbani #BoycottGodiMedia #BoycottPatanjali #BoycottRelianceProducts #EVM_हटाओ_किसान_बचाओ #tracter2twitter #मैं_भी_किसान https://t.co/5pbBFDIVor,Twitter for iPhone,0,0,,indians sitting their homes can help the movement doing this please help you could next ओ_कसन_बचओ _भ_कसन,NEGATIVE
12,2021-01-01 17:52:31,"Remember 2020

#HappyNewYear2021 
#NewYear2021 
#Welcome2021 
#HAPPYNEWYEAR 
#NewYear 
#2021year 
#نیا_سال 
#مبارك 
#India 
#COVID19 #ShaheenBagh 
#KisanAandolan 
#HAPPYNEWYEAR 
#lockdown 
#farmersrprotest 
#FarmersProtest 
#FarmersBill https://t.co/6joxo6EHN8",Twitter for Android,1,1,"Nandurbar, India",remember,POSITIVE
13,2021-01-01 17:52:05,"Remember 2020

#HappyNewYear2021 
#NewYear2021 
#Welcome2021 
#HAPPYNEWYEAR 
#NewYear 
#2021year 
#نیا_سال 
#مبارك 
#India 
#COVID19 #ShaheenBagh 
#KisanAandolan 
#HAPPYNEWYEAR 
#lockdown 
#farmersrprotest 
#FarmersProtest 
#FarmersBill https://t.co/DyRfHUfBI4",Twitter for Android,2,4,"Nandurbar, India",remember,POSITIVE
14,2021-01-01 17:14:03,"@iamsunnydeol Da way u have disappeared after #FarmersBill you will see the same in theatres don't forget public made you what you are and now they will show you your right place 
@KisanEktaMarch @KisanEkta_2 #IamWithFarmers #IamWithKhalsaAid #KisanEktaMorcha #KisanAandolan #KisanKeMannKiBaat",Twitter for Android,0,0,"Chembur, Mumbai",way have disappeared after you will see the same theatres dont forget public made you what you are and now they will show you your right place,POSITIVE
15,2021-01-01 16:49:22,"Midway dhaba rjp support farmers👳🏼‍♂️
No farmer 🚜 no food🌾
#FarmersProtest #FarmersBill #NewYear2021 #midwaydhabarjp https://t.co/muFZ6I8v66",Twitter for Android,0,1,"Rajpura, India",midway dhaba rjp support farmers farmer food,POSITIVE
16,2021-01-01 16:41:18,"@narendramodi @PMOIndia @nstomar 
This is all on you people and never forget that History will remember everything and it will not be kind with you people. There is a limit to everything and your arrogance will die soon too. #FarmersProtest #FarmersBill https://t.co/vb1erIwYK5",Twitter Web App,0,1,"New Delhi, India",this all you people and never forget that history will remember everything and will not kind with you people there limit everything and your arrogance will die soon too,NEGATIVE
17,2021-01-01 15:50:18,More than 95% farmers support the #FarmersBill. Only difference is that they are busy in their fields rather than coming to Delhi borders. https://t.co/ylyeOBr8fZ,Twitter for Android,2,4,भारत,more than farmers support the only difference that they are busy their fields rather than coming delhi borders,NEGATIVE
18,2021-01-01 15:49:58,"To all those fake farmers, who doesn't even know anything about farming, but saying ""hum bhi kisan hain humein to koi dikkat nahi hai is bill se"" just to ruin the ongoing world strongest protest. 🙏🏼🚜❣️
#IstandWithFarmers #farmersrprotest #FarmersBill #FarmBills2020 https://t.co/lSshEvZhRr",Twitter for Android,1,9,"Rajasthan, India",all those fake farmers who doesnt even know anything about farming but saying hum bhi kisan hain humein koi dikkat nahi hai bill just ruin the ongoing world strongest protest,NEGATIVE
19,2021-01-01 15:44:56,"BREAKING

1 more Protesting #Farmer lost his life
57 year old Galtan Singh from Baghpat passes away at Ghazipur border.

Will Godi media hold government accountable for this death?

#FarmersProtest #FarmersBill https://t.co/xIjot6TCZh",Twitter for Android,10,22,"Bengaluru, India",breaking more protesting lost his life year old galtan singh from baghpat passes away ghazipur border will godi media hold government accountable for this death,NEGATIVE
20,2021-01-01 15:41:53,"One thing which I just got to know, farmer bill introduced in rajyasabha on 27th September which was Sunday-why hurry?
it passed in rajyasabha without any vote even after opposition was asking for vote, NDA knew they can't win this

#farmersrprotest #FarmersBill #whereisdemocracy",Twitter for Android,0,0,,one thing which just got know farmer bill introduced rajyasabha september which was sundaywhy hurry passed rajyasabha without any vote even after opposition was asking for vote nda knew they cant win this,NEGATIVE
21,2021-01-01 15:34:19,"farmers protest on the road against #FarmersBill at 2degree temperature but hitller @narendramodi have no time to meet with them.
History testified that power and arrogance never mixed.
#नई_साल_किसान_बेहाल
#HitlerModiAgainstFarmers https://t.co/ueVOuvYUv4",Twitter Web App,1,1,Kolkata,farmers protest the road against degree temperature but hitller have time meet with them history testified that power and arrogance never mixed ल_कसन_बहल,POSITIVE
22,2021-01-01 14:30:57,"Karnatak’s Verdict on #FarmersBill -

Final numbers from #KarnatakaGPElections 

BJP: 40041   ( + 10915)
Congress: 31741    (- 9336)
JDS:11543      ( -1543)
Oth: 6838 

Total: 90,163

Blockbuster Results!",Twitter for iPad,5,17,,karnataks verdict final numbers from bjp congress jds oth total blockbuster results,POSITIVE
23,2021-01-01 14:18:28,"Check with other than the Punjab and Haryana
#FarmerBill2020 
#FarmersBill https://t.co/Or6FN4My7j",Twitter for Android,0,0,India,check with other than the punjab and haryana,NEGATIVE
24,2021-01-01 14:13:10,"मोदी जी कितनी शहीदी चाहिए
1 more Protesting #Farmer lost his life ;(( 
*57 year old Galtan Singh from Baghpat passes away at Ghazipur border. 
#FarmersProtest  
#FarmersBill https://t.co/WlfhSEteBN",Twitter for Android,116,207,,कतन शहद चहए more protesting lost his life year old galtan singh from baghpat passes away ghazipur border,NEGATIVE
25,2021-01-01 14:10:10,"Centre's claims of 50% of farmers' issues being resolved are false, we demand scrapping 3 bills: Yogendra Yadav

@_YogendraYadav #FarmersBill #FarmerBill2020 #FarmBills2020 #FarmersProtest  

https://t.co/Rj8oNUfE7N",Twitter Web App,0,2,India,centres claims farmers issues being resolved are false demand scrapping bills yogendra yadav,NEGATIVE
26,2021-01-01 13:48:40,Heavenly bliss! #FarmersBill  Got guess who is who in this image https://t.co/C3Y8BmYmfp,Twitter for iPhone,0,0,Mumbai,heavenly bliss got guess who who this image,POSITIVE
27,2021-01-01 13:45:59,@KartiPC @CMOTamilNadu @AIADMKOfficial @BJP4India No farmer has objected to #FarmersBill except Punjab Mandi owners and brokers. So why will assembly oppose it?,Twitter for iPhone,0,0,"Melbourne, Australia",farmer has objected except punjab mandi owners and brokers why will assembly oppose,NEGATIVE
28,2021-01-01 13:42:42,Can’t believe the #farmersrprotest in #India is defying #COVID logics and while world is silent because it’s not a #White man’s protest on #climatechange Change nor it’s a #BlackLivesMatter #FarmersBill #ModiSellingFarmers,Twitter for iPhone,0,0,,cant believe the defying logics and while world silent because its not mans protest change nor its,NEGATIVE
29,2021-01-01 13:20:48,"When You're belong to farmer faimly. 
Then you can do everything like that🙃
#FarmerBill2020 #farmersrprotest #FarmersBill #Bihar #handsomemen #beard #tranding #TweetTweet https://t.co/gzeUTsubBZ",Twitter for Android,0,0,"मधुबनी, भारत",when youre belong farmer faimly then you can everything like that,POSITIVE
30,2021-01-01 11:36:21,"None could survive without #Food 
So respect the bread earner. 
#FarmersProtests #FarmersProtest #FarmerBill2020 #FarmersBill #farmersrprotest https://t.co/IadZIsd3F5",Twitter Web App,0,0,,none could survive without respect the bread earner,NEGATIVE
31,2021-01-01 11:36:09,"First please help farmers in ur own way and then #ContributeForRamMandir i know its a good cause the farmers r struggling from 4 months they need peoples support!!
#IndiaWithFarmers #FarmersBill",Twitter for Android,0,0,,first please help farmers own way and then know its good cause the farmers struggling from months they need peoples support,POSITIVE
